GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Transaction Microservice,com.aline.transactionmicroservice,TransactionMicroserviceApplication,5,3,0,0,2,1,1,1,1,1
Transaction Microservice,com.aline.transactionmicroservice.model,Transaction,150,145,12,8,15,33,35,18,28,14
Transaction Microservice,com.aline.transactionmicroservice.model,Transaction_,3,0,0,0,1,0,1,0,1,0
Transaction Microservice,com.aline.transactionmicroservice.model,TransactionType,0,51,0,0,0,9,0,1,0,1
Transaction Microservice,com.aline.transactionmicroservice.model,TransactionMethod,0,33,0,0,0,6,0,1,0,1
Transaction Microservice,com.aline.transactionmicroservice.model,TransactionState,0,21,0,0,0,4,0,1,0,1
Transaction Microservice,com.aline.transactionmicroservice.model,Merchant.MerchantBuilder,110,0,0,0,1,0,11,0,11,0
Transaction Microservice,com.aline.transactionmicroservice.model,Merchant,122,0,6,0,17,0,24,0,21,0
Transaction Microservice,com.aline.transactionmicroservice.model,Transaction.TransactionBuilder,137,81,0,0,0,1,10,10,10,10
Transaction Microservice,com.aline.transactionmicroservice.model,TransactionStatus,0,21,0,0,0,4,0,1,0,1
Transaction Microservice,com.aline.transactionmicroservice.model,Merchant_,3,0,0,0,1,0,1,0,1,0
Transaction Microservice,com.aline.transactionmicroservice.util,TransactionCriteriaMode,15,0,0,0,3,0,1,0,1,0
Transaction Microservice,com.aline.transactionmicroservice.util,TransactionCriteria.TransactionCriteriaBuilder,63,0,0,0,1,0,7,0,7,0
Transaction Microservice,com.aline.transactionmicroservice.util,TransactionSpecification,250,0,7,0,41,0,17,0,13,0
Transaction Microservice,com.aline.transactionmicroservice.util,TransactionCriteria,199,0,20,0,8,0,25,0,15,0
Transaction Microservice,com.aline.transactionmicroservice.dto,TransactionResponse.TransactionResponseBuilder,146,0,0,0,1,0,14,0,14,0
Transaction Microservice,com.aline.transactionmicroservice.dto,CreateMerchant,369,0,62,0,11,0,52,0,21,0
Transaction Microservice,com.aline.transactionmicroservice.dto,TransactionResponse,493,0,70,0,15,0,64,0,29,0
Transaction Microservice,com.aline.transactionmicroservice.dto,TransferFundsRequest,214,0,32,0,8,0,31,0,15,0
Transaction Microservice,com.aline.transactionmicroservice.dto,CreateTransaction,431,0,68,0,13,0,59,0,25,0
Transaction Microservice,com.aline.transactionmicroservice.dto,CreateTransaction.CreateTransactionBuilder,122,0,0,0,1,0,12,0,12,0
Transaction Microservice,com.aline.transactionmicroservice.dto,TransferFundsRequest.TransferFundsRequestBuilder,62,0,0,0,1,0,7,0,7,0
Transaction Microservice,com.aline.transactionmicroservice.dto,Receipt,435,0,66,0,13,0,58,0,25,0
Transaction Microservice,com.aline.transactionmicroservice.dto,Receipt.ReceiptBuilder,122,0,0,0,1,0,12,0,12,0
Transaction Microservice,com.aline.transactionmicroservice.dto,CreateMerchant.CreateMerchantBuilder,98,0,0,0,1,0,10,0,10,0
Transaction Microservice,com.aline.transactionmicroservice.dto,MerchantResponse,227,0,38,0,7,0,33,0,14,0
Transaction Microservice,com.aline.transactionmicroservice.exception,TransactionPostedException,4,0,0,0,2,0,1,0,1,0
Transaction Microservice,com.aline.transactionmicroservice.exception,TransactionNotFoundException,4,0,0,0,2,0,1,0,1,0
Transaction Microservice,com.aline.transactionmicroservice.exception,MerchantNotFoundException,4,0,0,0,2,0,1,0,1,0
Transaction Microservice,com.aline.transactionmicroservice.service,AccountService,33,6,0,0,6,1,4,1,4,1
Transaction Microservice,com.aline.transactionmicroservice.service,TransactionService,161,25,16,0,33,3,15,3,7,3
Transaction Microservice,com.aline.transactionmicroservice.service,MerchantService,48,9,0,0,11,1,5,1,5,1
Transaction Microservice,com.aline.transactionmicroservice.service,TransactionApi,597,106,76,6,140,21,50,4,10,3
Transaction Microservice,com.aline.transactionmicroservice.service,MemberService,9,6,0,0,1,1,1,1,1,1
Transaction Microservice,com.aline.transactionmicroservice.controller,TransactionController,25,9,0,0,5,1,3,1,3,1
Transaction Microservice,com.aline.transactionmicroservice.controller,RootController,1,3,0,0,1,1,1,1,1,1
Transaction Microservice,com.aline.transactionmicroservice.controller,MemberController,22,10,0,0,3,2,1,2,1,2
Transaction Microservice,com.aline.transactionmicroservice.controller,AccountController,38,10,0,0,5,2,2,2,2,2
Transaction Microservice,com.aline.transactionmicroservice.authorization,TransactionAuthorization,159,9,18,0,35,1,15,1,6,1
Transaction Microservice,com.aline.transactionmicroservice.config,WebSecurityConfig,17,0,0,0,5,0,2,0,2,0
Transaction Microservice,com.aline.transactionmicroservice.config,ServiceConfig,0,14,0,0,0,4,0,2,0,2
